time,price_t,price_tplus,pred_tplus,position,pnl,pnl_cum
2018-12-01 23:00:00,64.5,60.27,58.938705,-1,4.229999999999997,4.229999999999997
2018-12-02 00:00:00,60.27,53.37,56.089222,-1,6.900000000000006,11.130000000000003
2018-12-02 01:00:00,53.37,51.32,51.105873,-1,2.049999999999997,13.18
2018-12-02 02:00:00,51.32,50.03,49.978607,-1,1.2899999999999991,14.469999999999999
2018-12-02 03:00:00,50.03,50.25,49.254547,-1,-0.21999999999999886,14.25
2018-12-02 04:00:00,50.25,50.98,51.31798,1,0.7299999999999969,14.979999999999997
2018-12-02 05:00:00,50.98,51.73,54.87404,1,0.75,15.729999999999997
2018-12-02 06:00:00,51.73,51.42,57.043087,1,-0.30999999999999517,15.420000000000002
2018-12-02 07:00:00,51.42,52.01,56.40018,1,0.5899999999999963,16.009999999999998
2018-12-02 08:00:00,52.01,55.41,58.27173,1,3.3999999999999986,19.409999999999997
2018-12-02 09:00:00,55.41,60.8,62.76554,1,5.390000000000001,24.799999999999997
2018-12-02 10:00:00,60.8,63.12,64.94605,1,2.3200000000000003,27.119999999999997
2018-12-02 11:00:00,63.12,63.85,66.54833,1,0.730000000000004,27.85
2018-12-02 12:00:00,63.85,67.94,64.909615,1,4.089999999999996,31.939999999999998
2018-12-02 13:00:00,67.94,66.48,67.73935,-1,1.4599999999999937,33.39999999999999
2018-12-02 14:00:00,66.48,62.07,64.31126,-1,4.410000000000004,37.809999999999995
2018-12-02 15:00:00,62.07,61.77,61.73751,-1,0.29999999999999716,38.10999999999999
2018-12-02 16:00:00,61.77,66.78,64.8574,1,5.009999999999998,43.11999999999999
2018-12-02 17:00:00,66.78,72.51,70.35388,1,5.730000000000004,48.849999999999994
2018-12-02 18:00:00,72.51,72.35,73.29485,1,-0.1600000000000108,48.68999999999998
2018-12-02 19:00:00,72.35,72.85,72.396385,1,0.5,49.18999999999998
2018-12-02 20:00:00,72.85,72.61,72.56033,-1,0.23999999999999488,49.42999999999998
2018-12-02 21:00:00,72.61,71.22,69.59247,-1,1.3900000000000006,50.81999999999998
2018-12-02 22:00:00,71.22,66.96,67.45535,-1,4.260000000000005,55.079999999999984
2018-12-02 23:00:00,66.96,53.89,61.557293,-1,13.069999999999993,68.14999999999998
2018-12-03 00:00:00,53.89,50.93,51.214012,-1,2.960000000000001,71.10999999999999
2018-12-03 01:00:00,50.93,49.65,50.09319,-1,1.2800000000000011,72.38999999999999
2018-12-03 02:00:00,49.65,49.38,49.53273,-1,0.269999999999996,72.65999999999998
2018-12-03 03:00:00,49.38,49.8,49.90602,1,0.4199999999999946,73.07999999999998
2018-12-03 04:00:00,49.8,50.85,50.925915,1,1.0500000000000043,74.13
2018-12-03 05:00:00,50.85,57.92,52.59236,1,7.07,81.19999999999999
